"Error_Dist","Scenario","Tau","Method","Kernel","p","MSE_beta","MAE_beta","WMSE_beta","CheckLoss_test","Bias_beta_avg","Coverage_beta_avg","CI_Width_beta_avg","Fit_Time_avg_sec","Rhat_beta_max","ESS_bulk_beta_min","ESS_tail_beta_min","Rhat_theta","ESS_bulk_theta","ESS_tail_theta","Num_Divergences_avg"
"norm_0_1","Sparse_p20",0.25,"QR","N/A",20,0.0179052213877505,0.107162179670705,0.218613091560591,0.439761753471932,0.00125470866069167,,,,,,,,,,
"norm_0_1","Sparse_p20",0.25,"BQR","ALD",20,0.0157346419855132,0.10053713194463,0.19280377120073,0.747848605952377,0.00065231841724618,0.86925,0.374816816493317,25.8195120203495,1.00211221441522,2333.43789778383,2343.3928340047,1.00049375984817,4017.94966900249,2782.62488792546,0
"norm_0_1","Sparse_p20",0.25,"BSQR","Gaussian",20,0.0161456250665228,0.100813138897403,0.20610002844062,0.437367613244112,0.000116441022599966,0.8765,0.8953706194249,130.184830813408,1.005986088193,3113.65763739302,2563.89479780181,1.00468220221017,3651.8268154261,2756.92833009937,1.995
"norm_0_1","Sparse_p20",0.25,"BSQR","Uniform",20,0.0154466336650792,0.0995657501613095,0.190008458262712,0.435253748802673,0.000564006730754549,0.8715,0.375722301909081,6.47392004370689,1.00190887198465,2985.28704702681,2558.94907483252,1.00059697687708,3575.70227328499,2748.692748743,0
"norm_0_1","Sparse_p20",0.25,"BSQR","Epanechnikov",20,0.0154621930602883,0.0995610605795058,0.190061652933672,0.435275967719109,0.000502542272721519,0.9295,0.456572272744624,39.3890597343445,1.00195177590232,2928.38978028839,2539.82953432551,1.00048896633266,3861.77147256611,2794.87988290252,0
"norm_0_1","Sparse_p20",0.25,"BSQR","Triangular",20,0.0155084716815426,0.0998279434401755,0.190501025397203,0.435316960438243,0.000578188508060531,0.87325,0.374298047057613,30.9225516796112,1.00194587218313,2904.06896939983,2570.65796211711,1.00058930906791,3551.21992170009,2756.3374687546,0
"norm_0_1","Sparse_p20",0.5,"QR","N/A",20,0.0142584968185731,0.09502515050552,0.172882641581972,0.432213777595818,0.00130076294440411,,,,,,,,,,
"norm_0_1","Sparse_p20",0.5,"BQR","ALD",20,0.0114862437349778,0.0858955253763373,0.140355355339488,0.4264692035468,0.00138868151165667,0.9205,0.377305946793904,27.6400888836384,1.00206350366494,2326.4608938287,2337.22931982729,1.00059364487848,3979.27280632687,2825.32374228839,0
"norm_0_1","Sparse_p20",0.5,"BSQR","Gaussian",20,0.0108885812327594,0.0816626913694229,0.139904519487995,0.425351492903453,0.00076682743038374,0.935,0.889570942659325,129.378486539125,1.00601443928819,3258.22112160763,2574.1490631051,1.0046863357775,3581.31745163702,2727.54208857016,0.35
"norm_0_1","Sparse_p20",0.5,"BSQR","Uniform",20,0.0106861269305988,0.0828702984805263,0.130723470067647,0.424553231655138,0.00142827461389956,0.93,0.371274739615249,6.44825160622597,1.0018873990599,3111.80972478874,2563.95938064989,1.0006144470285,3579.13389673957,2755.49083397331,0
"norm_0_1","Sparse_p20",0.5,"BSQR","Epanechnikov",20,0.0104943283135975,0.0821720271819979,0.128644772121031,0.424175376326922,0.00133517286699081,0.9855,0.550974800227669,37.7163215303421,1.00194583477199,3034.8127404123,2546.99604463905,1.0004902027662,4060.45582573629,2860.98914862209,0
"norm_0_1","Sparse_p20",0.5,"BSQR","Triangular",20,0.01102368590592,0.0841309671288774,0.134831894791533,0.425325823614834,0.00136839098632454,0.92575,0.373370225030931,30.6471006953716,1.001922923131,3006.86935034594,2552.36793384367,1.00057201454013,3584.63065793491,2769.13068186475,0
"norm_0_1","Sparse_p20",0.75,"QR","N/A",20,0.0180808958050504,0.106466616305232,0.223266555708915,0.442419886305191,0.00031251026064032,,,,,,,,,,
"norm_0_1","Sparse_p20",0.75,"BQR","ALD",20,0.0154109130759425,0.0989025974738069,0.190890560586813,0.749637499700566,-0.000153780576662966,0.86525,0.376321868209794,26.2509032511711,1.00208341807227,2339.50107536975,2367.33016809355,1.00059416214223,3977.75700634568,2803.16634034625,0
"norm_0_1","Sparse_p20",0.75,"BSQR","Gaussian",20,0.0166371692698183,0.0998043093348789,0.223856623912815,0.439856079654235,-0.000970645684760626,0.87825,0.89639390865505,125.604103232622,1.00602533478433,3104.49293688914,2553.05435492444,1.00468655797854,3644.8478321418,2776.8124319072,0.81
"norm_0_1","Sparse_p20",0.75,"BSQR","Uniform",20,0.0151014210697273,0.0979061602355939,0.187389127944591,0.43604401869002,-0.000216100545073649,0.87125,0.377489457272862,6.37627956271172,1.00198999217315,3022.56679941886,2568.54551084586,1.00058642028277,3637.39020546555,2788.28414729571,0
"norm_0_1","Sparse_p20",0.75,"BSQR","Epanechnikov",20,0.0151377430421254,0.0980539953091061,0.187778314786263,0.436113693364436,-0.000199782583641066,0.9305,0.450294665355644,39.6926778519154,1.00192394460732,2963.92538850532,2546.4488223885,1.0005794126472,3873.82994073142,2828.85176112722,0
"norm_0_1","Sparse_p20",0.75,"BSQR","Triangular",20,0.0151642074185474,0.0981619317541454,0.188100472291718,0.436188142564013,-0.000172005654682433,0.8675,0.375873546992063,31.2764996111393,1.00187223261598,2946.92897199702,2574.89071214159,1.00063806088051,3573.10415419895,2765.89771253484,0
"norm_0_1","Dense_p8",0.25,"QR","N/A",8,0.0158500256258437,0.100491375036163,0.0807821861130659,0.414477647410986,-0.00073298706315865,,,,,,,,,,
"norm_0_1","Dense_p8",0.25,"BQR","ALD",8,0.0141801345970314,0.0950566450057812,0.0724779844906491,0.791535823135821,-0.000753501345156229,0.8625,0.35699655315625,10.0763412737846,1.00176655181786,2174.83217078272,2279.80110807523,1.00060986887805,3512.69002696034,2684.61433991517,0
"norm_0_1","Dense_p8",0.25,"BSQR","Gaussian",8,0.0136272919061725,0.0932858488851719,0.0698803282623729,0.41266311481648,-0.00108508744485935,0.885,0.3664849025625,85.9379196858406,1.00148721450767,2804.21353162024,2507.03782433126,1.00073061708393,2925.2825368468,2577.68085343966,0.63
"norm_0_1","Dense_p8",0.25,"BSQR","Uniform",8,0.013662622984853,0.0931724886195,0.069800643691676,0.412570540109535,-0.000929256315124977,0.869375,0.35576140665625,4.27370917677879,1.00162554854748,2734.65327734597,2466.30661136931,1.00067844556148,2878.52450987052,2587.57742498876,0
"norm_0_1","Dense_p8",0.25,"BSQR","Epanechnikov",8,0.0136230179662607,0.0929441613260203,0.0697366219224286,0.412558163866919,-0.000855000746020289,0.93625,0.437827070328125,25.8740287172794,1.00147903308562,2722.61458822674,2489.17540361385,1.00061782000805,3165.3262259467,2635.04166428738,0
"norm_0_1","Dense_p8",0.25,"BSQR","Triangular",8,0.0137811639249277,0.0935395878405781,0.0704548342098021,0.412679974810595,-0.000754230271203103,0.86375,0.355380971828125,20.393799175024,1.00166957327643,2705.33084631709,2482.69148782542,1.00064284731384,2854.50512515256,2565.32008572379,0
"norm_0_1","Dense_p8",0.5,"QR","N/A",8,0.0128581667630967,0.0902458668609897,0.065147933759233,0.410839130384447,0.000469998564068202,,,,,,,,,,
"norm_0_1","Dense_p8",0.5,"BQR","ALD",8,0.0108913611464854,0.0825261639851562,0.0555427214820638,0.40919683142063,0.000231187600156273,0.90875,0.356827970796875,10.089562869072,1.00176741295121,2186.00184033718,2265.4990653773,1.00064255845948,3496.80533835479,2675.98778709096,0
"norm_0_1","Dense_p8",0.5,"BSQR","Gaussian",8,0.0111350197536282,0.0776381341233617,0.0804093701023982,0.410977455720815,-0.0027988673739867,0.926875,0.8671431048125,88.8259634172916,1.00576800464973,2842.00373700658,2512.66911981631,1.00476071804826,2839.41681666857,2565.11798621799,0.165
"norm_0_1","Dense_p8",0.5,"BSQR","Uniform",8,0.00982931650209711,0.0779479763534375,0.0501007804670886,0.408125468449057,-0.000310608274687478,0.915,0.35139019396875,4.277198574543,1.00157521796502,2751.53520385156,2510.97009913879,1.00069378677936,2844.04212139658,2571.4724569554,0
"norm_0_1","Dense_p8",0.5,"BSQR","Epanechnikov",8,0.00985053225045053,0.0781462652612781,0.0502101303904718,0.408125965649027,-0.000270585298465603,0.98,0.50388968509375,24.9792704916,1.00164303882786,2722.79275806714,2460.90220381614,1.00061240632673,3265.6682963806,2636.12696099506,0
"norm_0_1","Dense_p8",0.5,"BSQR","Triangular",8,0.010203933652918,0.079521272073125,0.0519636449978361,0.408469481411999,-6.50458609374757e-05,0.91375,0.353447044828125,20.3045049250126,1.00167249634707,2732.63646414404,2481.58183888224,1.00073233369253,2821.90557909568,2574.90507298475,0
"norm_0_1","Dense_p8",0.75,"QR","N/A",8,0.016721521132472,0.103153500610458,0.0849977843896225,0.415575501918071,0.00081718193295087,,,,,,,,,,
"norm_0_1","Dense_p8",0.75,"BQR","ALD",8,0.0151879116269693,0.09803002749395,0.076877331989856,0.791315460309819,0.000680044940425021,0.849375,0.358526775015625,10.0347997188568,1.00179638934817,2164.12470630742,2228.40123897873,1.00060126490733,3516.08734590207,2672.91599512079,0
"norm_0_1","Dense_p8",0.75,"BSQR","Gaussian",8,0.0147020715652286,0.0968713036608113,0.0747466381757534,0.413513676781491,0.000351528567001272,0.87,0.36601999953125,84.9725626397133,1.00160326478951,2822.46746319065,2522.88861606739,1.00070957904178,2915.09199360413,2594.46513130117,0.605
